Date,Color,Stack_No,Moisture
9/22/2023,Yellow,30,12.5
9/22/2023,Yellow,30,12.5
9/22/2023,Yellow,30,13.0
9/22/2023,Yellow,30,13.0
9/22/2023,Yellow,30,13.0
9/22/2023,Yellow,30,13.5
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.0
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,14.5
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.0
9/22/2023,Yellow,30,15.5
9/22/2023,Yellow,30,15.5
9/22/2023,Yellow,30,15.5
9/22/2023,Yellow,30,15.5
9/22/2023,Yellow,30,15.5
9/22/2023,Yellow,30,15.5
9/22/2023,Yellow,30,15.5
9/22/2023,Yellow,30,15.5
9/22/2023,Yellow,30,15.5
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.0
9/22/2023,Yellow,30,16.5
9/22/2023,Yellow,30,16.5
9/22/2023,Yellow,30,16.5
9/22/2023,Yellow,30,16.5
9/22/2023,Yellow,30,16.5
