Date,Color,Stack_No,Moisture
9/14/2023,Red,20,19.0
9/14/2023,Red,20,20.5
9/14/2023,Red,20,20.5
9/14/2023,Red,20,20.5
9/14/2023,Red,20,21.0
9/14/2023,Red,20,21.5
9/14/2023,Red,20,22.0
9/14/2023,Red,20,22.0
9/14/2023,Red,20,22.5
9/14/2023,Red,20,22.5
9/14/2023,Red,20,23.0
9/14/2023,Red,30,15.5
9/14/2023,Red,30,16.5
9/14/2023,Red,30,16.5
9/14/2023,Red,30,20.5
9/14/2023,Red,30,20.5
9/14/2023,Red,30,21.0
9/14/2023,Red,30,21.0
9/14/2023,Red,30,21.0
9/14/2023,Red,30,21.0
9/14/2023,Red,30,21.0
9/14/2023,Red,30,21.5
9/14/2023,Red,30,21.5
9/14/2023,Red,30,21.5
9/14/2023,Red,30,22.0
9/14/2023,Red,30,22.0
9/14/2023,Red,30,23.0
9/15/2023,Yellow,0,14.5
9/15/2023,Yellow,0,17.5
9/15/2023,Yellow,0,18.0
9/15/2023,Yellow,0,21.0
9/15/2023,Yellow,0,21.0
9/15/2023,Yellow,0,21.5
9/15/2023,Yellow,0,21.5
9/15/2023,Yellow,0,21.5
9/15/2023,Yellow,0,22.0
9/15/2023,Yellow,0,22.0
9/15/2023,Yellow,0,22.5
9/15/2023,Yellow,0,22.5
9/15/2023,Yellow,0,22.5
9/15/2023,Yellow,0,22.5
9/15/2023,Yellow,0,22.5
9/15/2023,Yellow,0,22.5
9/15/2023,Yellow,0,23.0
9/15/2023,Yellow,0,23.0
9/15/2023,Yellow,0,23.5
9/15/2023,Yellow,0,25.5
9/15/2023,Yellow,10,11.0
9/15/2023,Yellow,10,11.0
9/15/2023,Yellow,10,19.5
9/15/2023,Yellow,10,21.5
9/15/2023,Yellow,10,22.5
9/15/2023,Yellow,10,22.5
9/15/2023,Yellow,10,22.5
9/15/2023,Yellow,10,23.0
9/15/2023,Yellow,10,23.5
9/15/2023,Yellow,10,23.5
9/15/2023,Yellow,10,24.0
9/15/2023,Yellow,10,26.0
9/15/2023,Yellow,10,28.0
9/15/2023,Yellow,10,28.5
9/15/2023,Yellow,10,28.5
9/15/2023,Yellow,10,28.5
9/15/2023,Yellow,10,29.0
9/15/2023,Yellow,10,29.0
9/15/2023,Yellow,10,29.5
9/15/2023,Yellow,10,33.5
9/15/2023,Red,20,10.5
9/15/2023,Red,20,13.0
9/15/2023,Red,20,13.0
9/15/2023,Red,20,13.5
9/15/2023,Red,20,14.0
9/15/2023,Red,20,15.0
9/15/2023,Red,20,15.5
9/15/2023,Red,20,15.5
9/15/2023,Red,20,15.5
9/15/2023,Red,20,16.0
9/15/2023,Red,20,16.0
9/15/2023,Red,20,16.0
9/15/2023,Red,20,16.5
9/15/2023,Red,20,16.5
9/15/2023,Red,20,17.0
9/15/2023,Red,20,17.0
9/15/2023,Red,20,17.0
9/15/2023,Red,20,17.0
9/15/2023,Red,20,17.5
9/15/2023,Red,20,17.5
9/15/2023,Red,20,17.5
9/15/2023,Red,20,19.0
9/15/2023,Red,20,19.0
9/15/2023,Red,20,20.0
9/15/2023,Red,20,20.5
9/15/2023,Red,20,20.5
9/15/2023,Red,20,20.5
9/15/2023,Red,20,21.5
9/15/2023,Red,30,12.5
9/15/2023,Red,30,14.0
9/15/2023,Red,30,14.5
9/15/2023,Red,30,16.0
9/15/2023,Red,30,16.0
9/15/2023,Red,30,16.5
9/15/2023,Red,30,16.5
9/15/2023,Red,30,16.5
9/15/2023,Red,30,17.0
9/15/2023,Red,30,17.5
9/15/2023,Red,30,18.0
9/15/2023,Red,30,18.5
9/15/2023,Red,30,18.5
9/15/2023,Red,30,19.0
9/15/2023,Red,30,19.0
9/15/2023,Red,30,19.5
9/15/2023,Red,30,19.5
9/15/2023,Red,30,19.5
9/15/2023,Red,30,19.5
9/15/2023,Red,30,19.5
9/15/2023,Red,30,19.5
